  
  
#r(i) [cm]  Tk(i) [K]
  
1.0000000000E+0010  1.3011109963E+0003
1.0000857887E+0010  1.3004366863E+0003
1.0001716858E+0010  1.2997704593E+0003
1.0002576915E+0010  1.2991102265E+0003
1.0003438057E+0010  1.2984594815E+0003
1.0004300287E+0010  1.2978130584E+0003
1.0005163601E+0010  1.2971745202E+0003
1.0006028002E+0010  1.2965440357E+0003
1.0006893490E+0010  1.2959204056E+0003
1.0007760065E+0010  1.2953025671E+0003
1.0008627727E+0010  1.2946940887E+0003
1.0009496478E+0010  1.2940904226E+0003
1.0010366315E+0010  1.2934973797E+0003
1.0011237243E+0010  1.2929075458E+0003
1.0012109258E+0010  1.2923292741E+0003
1.0012982364E+0010  1.2917565762E+0003
1.0013856561E+0010  1.2911899455E+0003
1.0014731848E+0010  1.2906307291E+0003
1.0015608226E+0010  1.2900820252E+0003
1.0016485698E+0010  1.2895386977E+0003
1.0017364263E+0010  1.2890033219E+0003
1.0018243922E+0010  1.2884760605E+0003
1.0019124675E+0010  1.2879583835E+0003
1.0020006525E+0010  1.2874459353E+0003
1.0020889469E+0010  1.2869435677E+0003
1.0021773511E+0010  1.2864480607E+0003
1.0022658652E+0010  1.2859601006E+0003
1.0023544891E+0010  1.2854822469E+0003
1.0024432231E+0010  1.2850108507E+0003
1.0025320673E+0010  1.2845476450E+0003
1.0026210218E+0010  1.2840924106E+0003
1.0027100867E+0010  1.2836485846E+0003
1.0027992623E+0010  1.2832102141E+0003
1.0028885486E+0010  1.2827813127E+0003
1.0029779458E+0010  1.2823607032E+0003
1.0030674541E+0010  1.2819474417E+0003
1.0031570736E+0010  1.2815456855E+0003
1.0032468047E+0010  1.2811497269E+0003
1.0033366474E+0010  1.2807651976E+0003
1.0034266021E+0010  1.2803865274E+0003
1.0035166687E+0010  1.2800186906E+0003
1.0036068478E+0010  1.2796600305E+0003
1.0036971395E+0010  1.2793085303E+0003
1.0037875440E+0010  1.2789679617E+0003
1.0038780616E+0010  1.2786364931E+0003
1.0039686927E+0010  1.2783138235E+0003
1.0040594375E+0010  1.2779984410E+0003
1.0041502962E+0010  1.2776963708E+0003
1.0042412693E+0010  1.2774006958E+0003
1.0043323570E+0010  1.2771171070E+0003
1.0044235597E+0010  1.2768402177E+0003
1.0045148778E+0010  1.2765748209E+0003
1.0046063115E+0010  1.2763193697E+0003
1.0046978615E+0010  1.2760735645E+0003
1.0047895279E+0010  1.2758375613E+0003
1.0048813112E+0010  1.2756112117E+0003
1.0049732119E+0010  1.2753950166E+0003
1.0050652303E+0010  1.2751902989E+0003
1.0051573671E+0010  1.2749950523E+0003
1.0052496225E+0010  1.2748093289E+0003
1.0053419971E+0010  1.2746364968E+0003
1.0054344915E+0010  1.2744714657E+0003
1.0055271061E+0010  1.2743190417E+0003
1.0056198415E+0010  1.2741775501E+0003
1.0057126983E+0010  1.2740462442E+0003
1.0058056771E+0010  1.2739247772E+0003
1.0058987782E+0010  1.2738180262E+0003
1.0059920025E+0010  1.2737213440E+0003
1.0060853507E+0010  1.2736326021E+0003
1.0061788232E+0010  1.2735579915E+0003
1.0062724210E+0010  1.2734931552E+0003
1.0063661447E+0010  1.2734410745E+0003
1.0064599950E+0010  1.2734016989E+0003
1.0065539729E+0010  1.2733718358E+0003
1.0066480788E+0010  1.2733552388E+0003
1.0067423136E+0010  1.2733512699E+0003
1.0068366783E+0010  1.2733587146E+0003
1.0069311735E+0010  1.2733796170E+0003
1.0070258003E+0010  1.2734119572E+0003
1.0071205594E+0010  1.2734588151E+0003
1.0072154518E+0010  1.2735165862E+0003
1.0073104784E+0010  1.2735879711E+0003
1.0074056402E+0010  1.2736729307E+0003
1.0075009382E+0010  1.2737716935E+0003
1.0075963735E+0010  1.2738826655E+0003
1.0076919470E+0010  1.2740081486E+0003
1.0077876598E+0010  1.2741468080E+0003
1.0078835131E+0010  1.2743006880E+0003
1.0079795080E+0010  1.2744680973E+0003
1.0080756457E+0010  1.2746496906E+0003
1.0081719274E+0010  1.2748454737E+0003
1.0082683543E+0010  1.2750567013E+0003
