  
  
# r(i) [cm]  Tk(i) [K]
  
1.0000000000E+0010  1.3616414590E+0003
1.0000906805E+0010  1.3618298920E+0003
1.0001815529E+0010  1.3620371975E+0003
1.0002726187E+0010  1.3622638963E+0003
1.0003638791E+0010  1.3625116393E+0003
1.0004553359E+0010  1.3627801899E+0003
1.0005469904E+0010  1.3630691026E+0003
1.0006388443E+0010  1.3633778180E+0003
1.0007308989E+0010  1.3637084609E+0003
1.0008231559E+0010  1.3640610002E+0003
1.0009156169E+0010  1.3644350742E+0003
1.0010082836E+0010  1.3648299028E+0003
1.0011011575E+0010  1.3652491285E+0003
1.0011942405E+0010  1.3656892813E+0003
1.0012875342E+0010  1.3661527158E+0003
1.0013810404E+0010  1.3666395673E+0003
1.0014747608E+0010  1.3671489048E+0003
1.0015686973E+0010  1.3676825440E+0003
1.0016628518E+0010  1.3682390250E+0003
1.0017572260E+0010  1.3688224875E+0003
1.0018518221E+0010  1.3694269851E+0003
1.0019466419E+0010  1.3700580296E+0003
1.0020416874E+0010  1.3707153679E+0003
1.0021369608E+0010  1.3713975216E+0003
1.0022324642E+0010  1.3721041385E+0003
1.0023281994E+0010  1.3728381185E+0003
1.0024241689E+0010  1.3735993905E+0003
1.0025203748E+0010  1.3743866895E+0003
1.0026168193E+0010  1.3752008467E+0003
1.0027135047E+0010  1.3760445854E+0003
1.0028104335E+0010  1.3769130694E+0003
1.0029076079E+0010  1.3778113676E+0003
1.0030050308E+0010  1.3787373631E+0003
1.0031027043E+0010  1.3796936997E+0003
1.0032006312E+0010  1.3806780257E+0003
1.0032988139E+0010  1.3816944186E+0003
1.0033972551E+0010  1.3827389757E+0003
1.0034959576E+0010  1.3838144611E+0003
1.0035949241E+0010  1.3849221215E+0003
1.0036941575E+0010  1.3860611005E+0003
1.0037936606E+0010  1.3872305850E+0003
1.0038934363E+0010  1.3884364675E+0003
1.0039934877E+0010  1.3896714014E+0003
1.0040938177E+0010  1.3909404823E+0003
1.0041944295E+0010  1.3922443323E+0003
1.0042953264E+0010  1.3935814041E+0003
1.0043965115E+0010  1.3949537880E+0003
1.0044979882E+0010  1.3963622541E+0003
1.0045997598E+0010  1.3978056713E+0003
1.0047018298E+0010  1.3992860241E+0003
1.0048042018E+0010  1.4008018587E+0003
1.0049068792E+0010  1.4023549309E+0003
1.0050098657E+0010  1.4039464416E+0003
1.0051131653E+0010  1.4055769146E+0003
1.0052167818E+0010  1.4072450690E+0003
1.0053207188E+0010  1.4089537253E+0003
