#
# r [cm]  T[K]
10086994944.323320  1166.5899999999999
10087233536.372681  1170.0873975363047
10087472128.422041  1171.4212337020890
10087710720.471401  1172.7691753015836
10087951360.527163  1174.1202651515362
10088193024.590136  1175.4890807464194
10088436736.661234  1176.8792216566251
10088682496.741482  1178.2797121235037
10088929280.832031  1179.7016994726771
10089178112.934174  1181.1359904176504
10089428993.049360  1182.5900899288758
10089681921.179218  1184.0698985933009
10089935873.325575  1185.5610842747255
10090191873.490479  1187.0719216183850
10090449921.676224  1188.6021184924618
10090710017.885386  1190.1523634799282
10090971138.120844  1191.7144179815475
10091234306.385832  1193.3038596267668
10091500546.683964  1194.9187789820185
10091767811.019289  1196.5455007060943
10092037123.396336  1198.1957957942607
10092308483.820171  1199.8745560173318
10092580868.296463  1201.5761927789861
10092856324.831549  1202.8581675994697
10093133829.432508  1204.3464999740659
10093413382.107258  1206.1716053224256
10093694982.864634  1207.9326476816657
10093978631.714506  1209.7770070106458
10094264328.667898  1211.5059515250202
10094552073.737097  1212.8478363034415
10094841866.935829  1214.6428137571427
10095134732.279390  1216.6307258935765
10095428621.784838  1218.1068365514479
10095725583.471189  1219.8148115569977
10096024593.359631  1221.6457697214710
10096325651.473761  1223.1269697895018
10096629781.839863  1225.2067245903052
10096935960.487190  1227.2182427322430
10097244187.448309  1228.7386931379676
10097554462.759438  1230.8144025568126
10097867810.460875  1232.5849988814180
10098183206.597425  1234.0405273105714
10098501675.218866  1235.9837172277810
10098822192.380529  1238.0423269487071
10099145782.143923  1239.7785377901089
10099471420.577242  1242.0662480575602
10099800131.756330  1243.7506164604722
10100130891.765249  1245.4638513521193
10100464724.697302  1247.8483707481887
10100800606.656012  1249.7625596585949
10101140585.756140  1251.6021884549707
10101481590.124838  1253.4156908880414
10101826691.903120  1255.6330486336126
10102174867.247053  1257.9977904583275
10102525092.329634  1259.8654519055815
10102878391.342222  1261.9004349287934
10103234764.496748  1263.9290664620778
10103593188.027647  1266.0006107276197
10103955710.194105  1268.0931511309971
10104321307.282881  1270.2282286566717
10104689979.610792  1272.3920568353669
10105060703.528120  1274.5832313280066
10105435527.421583  1276.8089014378897
10105813427.718458  1279.0723619331563
10106194404.890638  1281.3778855673802
10106579483.457930  1283.7009442299736
10106966615.995100  1286.1215428951275
10107357851.136091  1288.3246448037989
10107752165.577986  1290.2908682380137
10108150584.092085  1292.8265437018044
10108551059.526350  1295.2855139684500
10108956664.814619  1297.3035936489741
10109365352.986738  1299.8635528499442
10109777125.175825  1302.5408688269224
10110193006.627974  1304.6573146748879
10110612998.716963  1307.3341176896861
10111036078.949873  1309.6156888900648
10111463272.987104  1312.2742945090756
10111894582.652143  1314.7381310895184
10112330009.947798  1317.3828727127434
10112768533.078901  1320.0925990440585
10113211178.459272  1322.3252635425181
10113658972.744917  1325.0957708415799
10114109870.846235  1328.0084074386743
10114565923.963667  1330.4730302307385
10115026111.596724  1333.0356784667194
10115490437.591841  1335.8145285219291
10115958906.160200  1339.0336679184327
10116431521.918013  1341.6603107077954
10116909313.916548  1344.4626861750714
10117391263.696821  1347.2873068504778
10117878401.318892  1350.1603056975937
10118369709.415571  1353.0997907005249
10118866219.237837  1356.0207424305631
10119367938.732954  1358.5162451105721
10119874876.565962  1361.5826449381243
10120386018.225142  1364.7320618462177
10120902398.063032  1367.9334966756892
10121424027.418501  1370.6335212785509
10121950918.627485  1373.8822941519779
10122484109.193892  1377.2991761289156
10123021565.838423  1380.1560868149804
10123565352.604048  1383.6319109785729
10124114463.039595  1386.6770334592734
10124668916.203657  1389.6125865174142
10125229756.924360  1393.2882702647569
10125797007.850142  1396.5423546831619
10126369669.725142  1399.7522661251426
10126948793.381392  1402.9655380008401
10127534408.115767  1406.9116636251269
10128126545.775923  1410.4198314533769
10128724216.998579  1413.8917706745324
10129329507.412642  1417.4645301453891
10129941434.010298  1421.1443869583857
10130561065.291548  1424.3365442901063
10131186401.596235  1428.0120969773516
10131819543.432173  1431.8980020355095
10132460547.752485  1435.8938884706599
10133109476.455610  1439.3527159528055
10133765372.697798  1443.4403842709121
10134429333.260298  1447.0878599588095
10135102461.002485  1450.6696503969617
10135782793.580610  1452.2198955018737
10136472471.830610  1453.7764939795486
10137170571.846235  1455.6576237065151
10137877202.736860  1457.2877082594603
10138593505.971235  1458.9937077595489
10139319609.096235  1460.7275269264685
10140055650.143110  1462.5046285631295
10140801777.830610  1464.3361129408061
10141558153.299360  1466.1180038553564
10142324951.143110  1467.8271583403430
10143102359.080610  1469.8434988273536
10143891604.330610  1471.6977815234934
10144692906.893110  1473.6314712226501
10145506503.049360  1475.6132857602504
10146331625.049360  1477.5000179400959
10147170595.924360  1479.4252930996790
10148022688.799360  1481.6737258773496
10148889249.049360  1483.7666326779663
10149769597.049360  1485.6506568611208
10150665129.799360  1487.8411907654117
10151576246.799360  1490.0975104836550
10152504403.174360  1492.3335934494041
10153448016.361860  1494.5524387730525
10154409632.174360  1496.8769677872860
10155389787.549360  1499.3143465078033
10156389061.174360  1501.7245882979610
10157408074.049360  1504.1292417580910
10158448512.299360  1506.6364026998103
10159509048.174360  1509.1489158362231
10160593522.424360  1511.6199112291749
10161701733.674360  1514.4389313660695
10162834567.049360  1517.0910756219253
10163992974.549360  1519.7623350477404
10165178995.799360  1522.8164959776600
10166393721.049360  1525.6723661247463
10167639347.799360  1528.7286673970827
10168916100.549360  1531.6019791419210
10170225324.549360  1534.8291016519718
10171570499.299360  1538.0178390994099
10172951118.049360  1541.4023437210619
10174371884.549360  1544.7725078821297
10175832526.049360  1548.3327787144028
10177335925.549360  1551.8346374000407
10178885128.549360  1555.6484876905558
10180482272.049360  1559.3803185040306
10182129654.049360  1563.3120189399565
10183829710.549360  1567.4537407313378
10185586084.549360  1571.6316588178058
10187402573.549360  1576.1232375573504
10189280096.049360  1580.6048574583272
10191224901.049360  1585.0722239412812
10193239324.049360  1589.9571785090097
10195327996.049360  1595.1210605769209
10197494711.049360  1600.1967847466890
10199743592.049360  1605.6319578166942
10202080968.049360  1610.7860880563926
10204510486.049360  1615.8147036823129
10207036987.049360  1620.9690761826446
10209667776.049360  1626.4618909426531
10212408372.049360  1632.0650382644246
10215265712.049360  1638.0685128713997
10218244994.049360  1644.0791165520238
10221353880.049360  1650.4451083541862
10224601492.049360  1657.2215782244386
10227994246.049360  1664.1379495951903
10231541128.049360  1671.4543736105331
10235251524.049360  1679.1513089102318
10239134334.049360  1687.1316673194165
10243200060.049360  1695.4000258216229
10247459672.049360  1704.2541496090964
10251923788.049360  1713.4588478882004
10256604576.049360  1723.1165520701918
10261514888.049360  1733.1705102260105
10266667308.049360  1743.7060388111543
10272077052.049360  1751.6909735943032
10277758176.049360  1759.2804560950026
10283726312.049360  1767.1325418824742
10289997312.049360  1775.3828108993816
10296589520.049360  1784.0297635831034
10303521328.049360  1793.1257493414012
10310812072.049360  1802.7618809448709
10318481184.049360  1812.8528129634276
10326550976.049360  1823.4841079939447
10335043016.049360  1835.1907209564138
10343982864.049360  1852.7332604918067
10353393256.049360  1871.7015722348867
10363301464.049360  1891.5360674951960
10373735704.049360  1912.5209375866875
10384723872.049360  1934.4233894448885
10396297984.049360  1957.6454707629475
10408487840.049360  1987.4747864876379
10421329216.049360  2026.7551610110309
10434855584.049360  2068.0819298156275
10449105728.049360  2111.6965640540361
10464117360.049360  2157.1206213037271
10479931232.049360  2217.1407073734918
10496590624.049360  2300.5406873209517
10514139104.049360  2386.8628992725912
10532624976.049360  2476.7823119128520
10552096992.049360  2636.5541151118964
10572605344.049360  2845.7151086066233
10594205088.049360  3064.8430941262091
10616951680.049360  3358.1649455189036
10640905024.049360  3664.1645094610908
10666124000.049360  3986.0979696103673
10692674816.049360  4320.3993037780465
10720623104.049360  4655.5077891296651
10750040192.049360  4978.5628748536101
10780999168.049360  5285.1234468471785
10813575456.049360  5614.3144727274903
10847847200.049360  5971.7761889213180
10883898624.049360  6352.9235141578065
10921816640.049360  6705.8502357538773
10961688320.049360  7054.2077196906966
