  
  
#r(i)[cm]  v(i) [cm/s]
  
1.0000000000E+0010  -1.1184452102E-0002
1.0000857887E+0010  -2.2366364417E-0002
1.0001716858E+0010  -3.3597661921E-0002
1.0002576915E+0010  -4.4760919130E-0002
1.0003438057E+0010  -5.5752650865E-0002
1.0004300287E+0010  -6.6229346080E-0002
1.0005163601E+0010  -7.6249511494E-0002
1.0006028002E+0010  -8.5788465725E-0002
1.0006893490E+0010  -9.4889013581E-0002
1.0007760065E+0010  -1.0326347601E-0001
1.0008627727E+0010  -1.1118772451E-0001
1.0009496478E+0010  -1.1856132161E-0001
1.0010366315E+0010  -1.2512965434E-0001
1.0011237243E+0010  -1.3138508930E-0001
1.0012109258E+0010  -1.3683671140E-0001
1.0012982364E+0010  -1.4274374348E-0001
1.0013856561E+0010  -1.4881326283E-0001
1.0014731848E+0010  -1.5522901871E-0001
1.0015608226E+0010  -1.6184944287E-0001
1.0016485698E+0010  -1.6886435352E-0001
1.0017364263E+0010  -1.7596284449E-0001
1.0018243922E+0010  -1.8292281135E-0001
1.0019124675E+0010  -1.8895365615E-0001
1.0020006525E+0010  -1.9395267706E-0001
1.0020889469E+0010  -1.9818843667E-0001
1.0021773511E+0010  -2.0148507451E-0001
1.0022658652E+0010  -2.0389561395E-0001
1.0023544891E+0010  -2.0574167864E-0001
1.0024432231E+0010  -2.0721697397E-0001
1.0025320673E+0010  -1.2343274822E-0001
1.0026210218E+0010  2.9897146937E-0002
1.0027100867E+0010  1.1932463581E-0001
1.0027992623E+0010  2.2127296305E-0001
1.0028885486E+0010  3.8059930902E-0001
1.0029779458E+0010  5.4507146767E-0001
1.0030674541E+0010  6.6035247589E-0001
1.0031570736E+0010  7.3563142930E-0001
1.0032468047E+0010  8.5466207001E-0001
1.0033366474E+0010  9.9630630041E-0001
1.0034266021E+0010  1.1340706437E+0000
1.0035166687E+0010  1.2067909052E+0000
1.0036068478E+0010  1.2992596990E+0000
1.0036971395E+0010  1.4481914160E+0000
1.0037875440E+0010  1.6083496421E+0000
1.0038780616E+0010  1.6803138101E+0000
1.0039686927E+0010  1.7253261606E+0000
1.0040594375E+0010  1.8356477656E+0000
1.0041502962E+0010  2.0217556364E+0000
1.0042412693E+0010  2.1539934447E+0000
1.0043323570E+0010  2.2267024949E+0000
1.0044235597E+0010  2.2693167949E+0000
1.0045148778E+0010  2.4137255421E+0000
1.0046063115E+0010  2.5758895288E+0000
1.0046978615E+0010  2.7163336017E+0000
1.0047895279E+0010  2.7873613473E+0000
1.0048813112E+0010  2.8312693484E+0000
1.0049732119E+0010  2.9819607155E+0000
1.0050652303E+0010  3.1680985833E+0000
1.0051573671E+0010  3.4034387558E+0000
1.0052496225E+0010  3.6161604111E+0000
1.0053419971E+0010  3.7105214522E+0000
1.0054344915E+0010  3.8242770322E+0000
1.0055271061E+0010  4.0410801269E+0000
1.0056198415E+0010  4.2425314356E+0000
1.0057126983E+0010  4.4950191545E+0000
1.0058056771E+0010  4.9083862829E+0000
1.0058987782E+0010  5.2983495849E+0000
1.0059920025E+0010  5.4547088170E+0000
1.0060853507E+0010  5.4707723040E+0000
1.0061788232E+0010  5.4707620130E+0000
1.0062724210E+0010  5.4707203647E+0000
1.0063661447E+0010  5.4706509564E+0000
1.0064599950E+0010  5.4705411218E+0000
1.0065539729E+0010  5.4704375324E+0000
1.0066480788E+0010  5.4703268874E+0000
1.0067423136E+0010  5.4701988608E+0000
1.0068366783E+0010  5.4700666700E+0000
1.0069311735E+0010  5.4699644056E+0000
1.0070258003E+0010  5.4698921916E+0000
1.0071205594E+0010  5.4698339221E+0000
1.0072154518E+0010  5.4698136867E+0000
1.0073104784E+0010  5.4698656358E+0000
1.0074056402E+0010  5.4698233572E+0000
1.0075009382E+0010  5.4697401107E+0000
1.0075963735E+0010  5.4696854706E+0000
1.0076919470E+0010  5.4724119444E+0000
1.0077876598E+0010  5.4733086476E+0000
1.0078835131E+0010  5.4732353273E+0000
1.0079795080E+0010  5.4730772336E+0000
1.0080756457E+0010  5.4728660612E+0000
1.0081719274E+0010  5.4726559979E+0000
1.0082683543E+0010  5.4724373641E+0000
1.0083649276E+0010  5.4722307394E+0000
1.0084616487E+0010  5.4720785954E+0000
1.0085585189E+0010  5.4720626014E+0000
