  
  
#r(i)[cm]  rho(i) [g/cm^-3]
  
1.0000000000E+0010  1.2996389265E-0011
1.0000857887E+0010  1.2796062309E-0011
1.0001716858E+0010  1.2598824896E-0011
1.0002576915E+0010  1.2404651568E-0011
1.0003438057E+0010  1.2213461522E-0011
1.0004300287E+0010  1.2025259849E-0011
1.0005163601E+0010  1.1839962209E-0011
1.0006028002E+0010  1.1657523223E-0011
1.0006893490E+0010  1.1477908681E-0011
1.0007760065E+0010  1.1301087604E-0011
1.0008627727E+0010  1.1126979429E-0011
1.0009496478E+0010  1.0955585232E-0011
1.0010366315E+0010  1.0786815428E-0011
1.0011237243E+0010  1.0620683143E-0011
1.0012109258E+0010  1.0457088133E-0011
1.0012982364E+0010  1.0296024774E-0011
1.0013856561E+0010  1.0137461754E-0011
1.0014731848E+0010  9.9813465425E-0012
1.0015608226E+0010  9.8276206106E-0012
1.0016485698E+0010  9.6762824302E-0012
1.0017364263E+0010  9.5272800001E-0012
1.0018243922E+0010  9.3805757132E-0012
1.0019124675E+0010  9.2361263894E-0012
1.0020006525E+0010  9.0939242759E-0012
1.0020889469E+0010  8.9538959707E-0012
1.0021773511E+0010  8.8160333353E-0012
1.0022658652E+0010  8.6802969656E-0012
1.0023544891E+0010  8.5466349107E-0012
1.0024432231E+0010  8.4150418849E-0012
1.0025320673E+0010  8.2854755886E-0012
1.0026210218E+0010  8.1579078580E-0012
1.0027100867E+0010  8.0322813158E-0012
1.0027992623E+0010  7.9086010119E-0012
1.0028885486E+0010  7.7868175117E-0012
1.0029779458E+0010  7.6669074882E-0012
1.0030674541E+0010  7.5488441072E-0012
1.0031570736E+0010  7.4325738700E-0012
1.0032468047E+0010  7.3181039579E-0012
1.0033366474E+0010  7.2053764871E-0012
1.0034266021E+0010  7.0943942377E-0012
1.0035166687E+0010  6.9851000997E-0012
1.0036068478E+0010  6.8774779728E-0012
1.0036971395E+0010  6.7715154560E-0012
1.0037875440E+0010  6.6671675102E-0012
1.0038780616E+0010  6.5644143155E-0012
1.0039686927E+0010  6.4632324468E-0012
1.0040594375E+0010  6.3636079654E-0012
1.0041502962E+0010  6.2654903753E-0012
1.0042412693E+0010  6.1688866088E-0012
1.0043323570E+0010  6.0737435358E-0012
1.0044235597E+0010  5.9800641509E-0012
1.0045148778E+0010  5.8878074009E-0012
1.0046063115E+0010  5.7969594437E-0012
1.0046978615E+0010  5.7074968397E-0012
1.0047895279E+0010  5.6193969165E-0012
1.0048813112E+0010  5.5326379352E-0012
1.0049732119E+0010  5.4472015892E-0012
1.0050652303E+0010  5.3630625211E-0012
1.0051573671E+0010  5.2802074738E-0012
1.0052496225E+0010  5.1986170136E-0012
1.0053419971E+0010  5.1182540843E-0012
1.0054344915E+0010  5.0391207823E-0012
1.0055271061E+0010  4.9611844440E-0012
1.0056198415E+0010  4.8844315702E-0012
1.0057126983E+0010  4.8088453923E-0012
1.0058056771E+0010  4.7344132875E-0012
1.0058987782E+0010  4.6610987893E-0012
1.0059920025E+0010  4.5888951144E-0012
1.0060853507E+0010  4.5177912198E-0012
1.0061788232E+0010  4.4477525174E-0012
1.0062724210E+0010  4.3787795689E-0012
1.0063661447E+0010  4.3108459903E-0012
1.0064599950E+0010  4.2439362223E-0012
1.0065539729E+0010  4.1780455249E-0012
1.0066480788E+0010  4.1131458679E-0012
1.0067423136E+0010  4.0492244254E-0012
1.0068366783E+0010  3.9862703325E-0012
1.0069311735E+0010  3.9242626629E-0012
1.0070258003E+0010  3.8631932516E-0012
1.0071205594E+0010  3.8030386026E-0012
1.0072154518E+0010  3.7437958385E-0012
1.0073104784E+0010  3.6854431226E-0012
1.0074056402E+0010  3.6279671243E-0012
1.0075009382E+0010  3.5713542930E-0012
1.0075963735E+0010  3.5155963405E-0012
1.0076919470E+0010  3.4606739841E-0012
1.0077876598E+0010  3.4065781296E-0012
1.0078835131E+0010  3.3532909504E-0012
