  
  
#r(i) [cm]  rho(i) [g/cm^-3]
  
1.0000000000E+0010  1.2295234512E-0011
1.0000906805E+0010  1.2095292580E-0011
1.0001815529E+0010  1.1898478429E-0011
1.0002726187E+0010  1.1704732762E-0011
1.0003638791E+0010  1.1513995973E-0011
1.0004553359E+0010  1.1326228604E-0011
1.0005469904E+0010  1.1141387214E-0011
1.0006388443E+0010  1.0959434246E-0011
1.0007308989E+0010  1.0780310365E-0011
1.0008231559E+0010  1.0603972729E-0011
1.0009156169E+0010  1.0430385430E-0011
1.0010082836E+0010  1.0259509758E-0011
1.0011011575E+0010  1.0091277997E-0011
1.0011942405E+0010  9.9256824701E-0012
1.0012875342E+0010  9.7626626591E-0012
1.0013810404E+0010  9.6021810063E-0012
1.0014747608E+0010  9.4442067179E-0012
1.0015686973E+0010  9.2886859242E-0012
1.0016628518E+0010  9.1355976180E-0012
1.0017572260E+0010  8.9848720737E-0012
1.0018518221E+0010  8.8365197444E-0012
1.0019466419E+0010  8.6904676733E-0012
1.0020416874E+0010  8.5466793855E-0012
1.0021369608E+0010  8.4051389188E-0012
1.0022324642E+0010  8.2658104445E-0012
1.0023281994E+0010  8.1286490657E-0012
1.0024241689E+0010  7.9936177267E-0012
1.0025203748E+0010  7.8606947162E-0012
1.0026168193E+0010  7.7298425591E-0012
1.0027135047E+0010  7.6010194172E-0012
1.0028104335E+0010  7.4742170165E-0012
1.0029076079E+0010  7.3493588152E-0012
1.0030050308E+0010  7.2264638968E-0012
1.0031027043E+0010  7.1054740638E-0012
1.0032006312E+0010  6.9863763825E-0012
1.0032988139E+0010  6.8691270657E-0012
1.0033972551E+0010  6.7537082471E-0012
1.0034959576E+0010  6.6400804863E-0012
1.0035949241E+0010  6.5282236450E-0012
1.0036941575E+0010  6.4181091747E-0012
1.0037936606E+0010  6.3097178148E-0012
1.0038934363E+0010  6.2029988960E-0012
1.0039934877E+0010  6.0979572147E-0012
1.0040938177E+0010  5.9945444239E-0012
1.0041944295E+0010  5.8927391941E-0012
1.0042953264E+0010  5.7925232453E-0012
1.0043965115E+0010  5.6938693690E-0012
1.0044979882E+0010  5.5967514648E-0012
1.0045997598E+0010  5.5011497366E-0012
1.0047018298E+0010  5.4070366127E-0012
1.0048042018E+0010  5.3143923322E-0012
1.0049068792E+0010  5.2231897491E-0012
1.0050098657E+0010  5.1334061385E-0012
1.0051131653E+0010  5.0450224345E-0012
1.0052167818E+0010  4.9580252623E-0012
1.0053207188E+0010  4.8723825587E-0012
1.0054249804E+0010  4.7880741314E-0012
1.0055295708E+0010  4.7050835113E-0012
1.0056344941E+0010  4.6233877149E-0012
1.0057397545E+0010  4.5429630226E-0012
1.0058453564E+0010  4.4638042561E-0012
1.0059513041E+0010  4.3858776790E-0012
1.0060576022E+0010  4.3091701923E-0012
1.0061642552E+0010  4.2336646964E-0012
1.0062712679E+0010  4.1593402728E-0012
1.0063786450E+0010  4.0861759018E-0012
1.0064863914E+0010  4.0141579291E-0012
1.0065945123E+0010  3.9432693621E-0012
1.0067030126E+0010  3.8734938324E-0012
1.0068118974E+0010  3.8048134346E-0012
1.0069211722E+0010  3.7372076348E-0012
1.0070308424E+0010  3.6706679265E-0012
1.0071409134E+0010  3.6051695627E-0012
1.0072513909E+0010  3.5406991807E-0012
1.0073622809E+0010  3.4772440157E-0012
1.0074735890E+0010  3.4147877854E-0012
1.0075853215E+0010  3.3533170111E-0012
1.0076974843E+0010  3.2928124296E-0012
1.0078100838E+0010  3.2332624006E-0012
1.0079231265E+0010  3.1746512426E-0012
1.0080366188E+0010  3.1169638279E-0012
1.0081505676E+0010  3.0601879187E-0012
1.0082649797E+0010  3.0043096244E-0012
1.0083798620E+0010  2.9493175002E-0012
1.0084952218E+0010  2.8951942401E-0012
1.0086110663E+0010  2.8419293443E-0012
1.0087274031E+0010  2.7895095963E-0012
1.0088442397E+0010  2.7379230632E-0012
1.0089615839E+0010  2.6871560812E-0012
1.0090794436E+0010  2.6371961720E-0012
1.0091978272E+0010  2.5880321019E-0012
1.0093167428E+0010  2.5396565087E-0012
1.0094361987E+0010  2.4920511708E-0012
1.0095562039E+0010  2.4452060152E-0012
1.0096767671E+0010  2.3991106006E-0012
1.0097978974E+0010  2.3537564559E-0012
1.0099196040E+0010  2.3091258974E-0012
1.0100418965E+0010  2.2652129106E-0012
1.0101647847E+0010  2.2220071655E-0012
1.0102882784E+0010  2.1794983242E-0012
1.0104123876E+0010  2.1376743614E-0012
1.0105371228E+0010  2.0965266035E-0012
1.0106624945E+0010  2.0560457068E-0012
1.0107885135E+0010  2.0162164262E-0012
1.0109151912E+0010  1.9770382334E-0012
1.0110425385E+0010  1.9384937921E-0012
1.0111705673E+0010  1.9005787366E-0012
1.0112992894E+0010  1.8632830754E-0012
1.0114287167E+0010  1.8265978530E-0012
1.0115588617E+0010  1.7905118586E-0012
1.0116897371E+0010  1.7550167999E-0012
1.0118213560E+0010  1.7201066239E-0012
1.0119537315E+0010  1.6857696113E-0012
